month,ts_code,factor_score
2023-11,600633.SH,0.4603369810057344
2023-11,601187.SH,0.4590905242669834
2023-11,600867.SH,0.4579091461911156
2023-11,601727.SH,0.45739260336913456
2023-11,600623.SH,0.4552172824858134
2023-11,601099.SH,0.45466777035302647
2023-11,000967.SZ,0.4542966394373059
2023-11,000612.SZ,0.4522878879285106
2023-11,300573.SZ,0.44983560583574156
2023-11,000719.SZ,0.44739359415880864
2023-11,000686.SZ,0.4473818101082084
2023-11,002375.SZ,0.44448394476068986
2023-11,002106.SZ,0.444027224795986
2023-11,600429.SH,0.4423932046492627
2023-11,601186.SH,0.44235279520704995
2023-11,601899.SH,0.4399459351092339
2023-11,601918.SH,0.4392682441294375
2023-11,600894.SH,0.4391197572947443
2023-11,002237.SZ,0.4385844942770362
2023-11,600611.SH,0.4368495040515385
2023-11,600720.SH,0.43677605549359944
2023-11,000600.SZ,0.4365949088305576
2023-11,600061.SH,0.4357372186670984
2023-11,601860.SH,0.43565252683477174
2023-11,601999.SH,0.43542203451476325
2023-11,600755.SH,0.4340167432045839
2023-11,002078.SZ,0.4339150554818501
2023-11,601200.SH,0.4336632629386621
2023-11,002588.SZ,0.43316963511193196
2023-11,601618.SH,0.43018807627416883
2023-11,000623.SZ,0.42994865643196056
2023-11,600918.SH,0.4284516796586424
2023-11,002544.SZ,0.428311044977294
2023-11,600373.SH,0.4274800142904763
2023-11,000960.SZ,0.42636785854989645
2023-11,000166.SZ,0.4247730770136622
2023-11,000883.SZ,0.4243811724513258
2023-11,002051.SZ,0.42316210228190126
2023-11,000900.SZ,0.42283636677378644
2023-11,000958.SZ,0.42273200886235623
2023-11,000060.SZ,0.42218397501041494
2023-11,000088.SZ,0.42008948792431966
2023-11,601319.SH,0.4191052145532278
2023-11,002392.SZ,0.4186084704391942
2023-11,300383.SZ,0.417669043668677
2023-11,601665.SH,0.4159223658782336
2023-11,002500.SZ,0.4124791380485525
2023-11,603698.SH,0.4115746333417784
2023-11,600729.SH,0.40786943195184217
2023-11,600118.SH,0.4073166589661224
2023-11,600826.SH,0.4063305371592615
2023-11,601512.SH,0.40504263700049675
2023-11,600198.SH,0.4032012261751046
2023-11,002926.SZ,0.40238491253944286
2023-11,000852.SZ,0.4008377498138902
2023-11,000969.SZ,0.40063364839477245
2023-11,002736.SZ,0.4003222373451519
2023-11,601880.SH,0.3987733621928873
2023-11,002342.SZ,0.39778462286005145
2023-11,000099.SZ,0.397559555915558
2023-11,000858.SZ,0.3974650247229479
2023-11,600525.SH,0.39662493646039243
2023-11,002152.SZ,0.39513437615862773
2023-11,600273.SH,0.39497197895366487
2023-11,601118.SH,0.3927829352517695
2023-11,600748.SH,0.39270629572587645
2023-11,600617.SH,0.39104731538994336
2023-11,600751.SH,0.38961982163929865
2023-11,300070.SZ,0.3887577564713452
2023-11,000709.SZ,0.38818574635888664
2023-11,000429.SZ,0.3879171748939254
2023-11,002673.SZ,0.38655364383321256
2023-11,600820.SH,0.3865508603506131
2023-11,002044.SZ,0.38445073600156204
2023-11,600777.SH,0.3844053231330933
2023-11,000848.SZ,0.3834745431142897
2023-12,302132.SZ,4.952237515414301
2023-12,300114.SZ,4.952237515414301
2023-12,300308.SZ,2.9761714427096626
2023-12,300972.SZ,2.460394506715554
2023-12,300857.SZ,2.1781447099983735
2023-12,002261.SZ,2.1727562630561463
2023-12,300735.SZ,2.0600328144376148
2023-12,300394.SZ,1.9164465689418715
2023-12,601858.SH,1.7035327416485202
2023-12,600839.SH,1.6807167941092451
2023-12,603728.SH,1.5661754341551661
2023-12,603000.SH,1.524361177907487
2023-12,688256.SH,1.5050938907656435
2023-12,000766.SZ,1.387088540395168
2023-12,600100.SH,1.336918164724568
2023-12,600066.SH,1.214892440602158
2023-12,600895.SH,1.2128309789133151
2023-12,600060.SH,1.2108610988473587
2023-12,300418.SZ,1.2040874209188657
2023-12,000550.SZ,1.1315147011822302
2023-12,002195.SZ,1.0886535750334014
2023-12,600780.SH,1.028059461544046
2023-12,000921.SZ,1.0276821432256478
2023-12,603569.SH,1.008536543182322
2023-12,300502.SZ,0.9918101767990555
2023-12,002456.SZ,0.9872910642228533
2023-12,600129.SH,0.9764789519274605
2023-12,688578.SH,0.9764746537367635
2023-12,300291.SZ,0.9307947903694271
2023-12,002236.SZ,0.9299189668896565
2023-12,603528.SH,0.9288688150029902
2023-12,688336.SH,0.924467027636925
2023-12,600667.SH,0.9180945354693039
2023-12,600612.SH,0.916175383849122
2023-12,000338.SZ,0.914583509546918
2023-12,002315.SZ,0.9059069883371884
2023-12,300002.SZ,0.8998064655371133
2023-12,601988.SH,0.8950662083297557
2023-12,300570.SZ,0.8939056635860324
2023-12,600007.SH,0.8849823282132495
2023-12,600410.SH,0.8820635926047729
2023-12,002221.SZ,0.8791212053526605
2023-12,600023.SH,0.8736351869984659
2023-12,601567.SH,0.8676828274497164
2023-12,000625.SZ,0.8613733309647041
2023-12,002281.SZ,0.8549526398243545
2023-12,002345.SZ,0.8519516649759629
2023-12,601328.SH,0.8470548797464518
2023-12,600377.SH,0.8384589393098273
2023-12,600398.SH,0.83758114957586
2023-12,603019.SH,0.8340730811798819
2023-12,600489.SH,0.8330134565892388
2023-12,600415.SH,0.8273535886353928
2023-12,002252.SZ,0.8248690545351868
2023-12,002429.SZ,0.8215527001711472
2023-12,000426.SZ,0.8205350042725622
2023-12,603160.SH,0.8155390662665198
2023-12,000021.SZ,0.8118341779181073
2023-12,600737.SH,0.8040327168568623
2023-12,600350.SH,0.8000982763177794
2023-12,000541.SZ,0.7946129343660994
2023-12,000543.SZ,0.7944215180964033
2023-12,600971.SH,0.7675557634735253
2023-12,601288.SH,0.7660815682758111
2023-12,601881.SH,0.7611068186628791
2023-12,601857.SH,0.760506307391546
2023-12,002463.SZ,0.7561131417780926
2023-12,300765.SZ,0.7553864484011564
2023-12,601398.SH,0.7365899303101773
2023-12,000977.SZ,0.7355880588239201
2023-12,300832.SZ,0.7336024883250921
2023-12,688387.SH,0.7306667167339737
2023-12,600239.SH,0.7290889769915505
2023-12,603087.SH,0.7169775160170597
2023-12,002161.SZ,0.7162381523187865
2023-12,000988.SZ,0.7152591856814566
2023-12,000506.SZ,0.7147055461091348
2023-12,000039.SZ,0.7128017386606649
2023-12,002544.SZ,0.7085724338119068
2023-12,002373.SZ,0.705787105574246
2023-12,000423.SZ,0.7023828780049174
2023-12,002422.SZ,0.6923039217117647
2023-12,688981.SH,0.6918527953224624
2023-12,000061.SZ,0.6887277981196522
2023-12,600312.SH,0.6798118850214789
2023-12,688041.SH,0.6742658379585604
2023-12,000800.SZ,0.6661083930033409
2023-12,600674.SH,0.662122586292572
2023-12,600282.SH,0.6577557150582478
2023-12,600776.SH,0.6555471722560706
2023-12,000536.SZ,0.6554432150981678
2023-12,603515.SH,0.646295890123457
2023-12,600016.SH,0.6460966338330113
2023-12,002128.SZ,0.6454576721344647
2023-12,688088.SH,0.6449221196862571
2023-12,600200.SH,0.6435303027629944
2023-12,601163.SH,0.6423810915539478
2023-12,601006.SH,0.633975315642561
2023-12,002583.SZ,0.6301182416437342
2023-12,000598.SZ,0.6257593746589474
2023-12,601939.SH,0.625050060120579
2023-12,601880.SH,0.6191358776240508
2023-12,600276.SH,0.6177959808102557
2023-12,601077.SH,0.6176719909025844
2023-12,002387.SZ,0.6149704885106463
2023-12,688617.SH,0.6109701329602815
2023-12,688027.SH,0.6107360898812825
2023-12,002595.SZ,0.6090949518158814
2023-12,600900.SH,0.6078984142781905
2023-12,002608.SZ,0.604430271720233
2023-12,002032.SZ,0.6016408974008286
2023-12,600804.SH,0.601337822335662
2023-12,600187.SH,0.6007586439387873
2023-12,603979.SH,0.5979620688542754
2023-12,601211.SH,0.59766005356555
2023-12,600867.SH,0.5968984820499967
2023-12,600161.SH,0.5945107943432739
2023-12,002131.SZ,0.5924925510288965
2023-12,600351.SH,0.5907341043052032
2023-12,003816.SZ,0.5854423305984452
2023-12,002662.SZ,0.5843118296574469
2023-12,600150.SH,0.5838698669836848
2023-12,601000.SH,0.5827314065937816
2023-12,600177.SH,0.5808819287748505
2023-12,601200.SH,0.5808393437299761
2023-12,600025.SH,0.5804997007691935
2023-12,600017.SH,0.5759496865548792
2023-12,600535.SH,0.5758035489339333
2023-12,600635.SH,0.5709761902330153
2023-12,601566.SH,0.568061256583771
2023-12,601099.SH,0.5678060129059541
2023-12,002491.SZ,0.5658082646557603
2023-12,688425.SH,0.5657263563994321
2023-12,603766.SH,0.5654783897704925
2023-12,300134.SZ,0.5653409420277413
2023-12,601169.SH,0.565082011353528
2023-12,002681.SZ,0.5650081012542231
2023-12,600261.SH,0.5643478215345754
2023-12,300866.SZ,0.5619577976716691
2023-12,600894.SH,0.561665803679998
2023-12,600642.SH,0.5606650585675435
2023-12,002736.SZ,0.5606130738539226
2023-12,000157.SZ,0.5573515002434214
2023-12,300244.SZ,0.5571643731072261
2023-12,000030.SZ,0.5561195629109802
2023-12,601326.SH,0.5554570954819659
2023-12,002073.SZ,0.5554053309320479
2023-12,000778.SZ,0.5550095675287524
2023-12,002818.SZ,0.5508776135380866
2023-12,601698.SH,0.5501703668562801
2023-12,600699.SH,0.5498293695562309
2023-12,600028.SH,0.5464933169065977
2023-12,000685.SZ,0.5442140661805706
2023-12,600006.SH,0.5441458289173063
2023-12,601998.SH,0.5436414844365893
2023-12,002393.SZ,0.5424642079998414
2023-12,002400.SZ,0.5394801129726339
2023-12,600602.SH,0.5373578905478891
2023-12,000158.SZ,0.5357595165293043
2023-12,688036.SH,0.5354320806754096
2023-12,601727.SH,0.5339241244360345
2023-12,000034.SZ,0.5327784828988692
2023-12,002320.SZ,0.5323088889318004
2023-12,600751.SH,0.529356230076257
2023-12,601718.SH,0.5274913441334692
